long,lat
17.6480052,59.8393701
17.6480341,59.8392894
17.6481147,59.8392956
17.6481432,59.8392159
17.6472424,59.8391136
17.6472631,59.8390557
17.6473433,59.8390544
17.6473458,59.8390704
17.6475238,59.8390772
17.647536,59.8389047
17.6474709,59.8389008
17.6474767,59.8388648
17.6473751,59.8388618
17.6473811,59.8387833
17.6484274,59.8388934
17.6484565,59.8388052
17.648535,59.8388155
17.6485727,59.838736
17.647413,59.8386109
17.6474341,59.8385565
17.6475478,59.8385595
17.6475474,59.8385703
17.6478522,59.8385804
17.6478664,59.8383792
17.6475097,59.8383669
17.6475481,59.8382687
17.6486244,59.8383864
17.6486543,59.8383085
17.6487378,59.8383203
17.6487746,59.8382488
17.6476091,59.8381245
17.6476395,59.8380363
17.6480262,59.8380806
17.6481183,59.8378764
17.647737,59.8378336
17.6477676,59.8377667
17.6486223,59.837865
17.6486551,59.8377838
17.6487355,59.8377901
17.6487695,59.8377133
17.6478238,59.8376243
17.6478937,59.83747
17.6479301,59.8374764
17.6479606,59.83739
17.6477726,59.8373749
17.6477583,59.8374074
17.6476953,59.8374007
17.6476289,59.8375505
17.647422,59.8380329
17.6473997,59.8380848
17.6473907,59.8381057
17.6462149,59.8379803
17.6461825,59.8380509
17.6462697,59.8380615
17.6462406,59.8381342
17.6473376,59.8382476
17.6471772,59.838613
17.6466979,59.8385603
17.6467378,59.838468
17.6465739,59.8383313
17.6461422,59.8382847
17.6460358,59.8385507
17.6461231,59.8385563
17.6460883,59.8386495
17.6471381,59.838757
17.6471013,59.8388454
17.6460051,59.838735
17.6459241,59.83898
17.6458227,59.8389721
17.645788,59.8390506
17.6458626,59.8390585
17.6458292,59.8391408
17.6460294,59.8391601
17.6468978,59.8392528
17.6469334,59.8392565
17.6473675,59.8393028
17.6479529,59.839365
17.6480052,59.8393701